actor,final_fitness,max_fitness,slope,y_intercept
Protestors,0.5714285714285713,0.6963265306122448,3.3491757242162277e-06,0.5726161114053487
Police,1.0,1.0,-9.502702197629665e-06,0.9908405778151124
Public,0.4799999999999999,0.8474285714285713,-4.555511625566646e-05,0.6307268662841297
CounterProtestors,0.8095238095238094,0.8576190476190477,1.6263994372916974e-05,0.7472873898348681
