actor,final_complexity,max_complexity,slope,y_intercept
Protestors,13.571428571428571,16.428571428571427,3.58019945749329e-05,14.466619969708242
Police,19.142857142857142,20.714285714285715,0.0005999275268542383,17.64152407624384
Public,18.142857142857142,19.857142857142858,0.0002730657434940544,17.850141965535975
CounterProtestors,18.714285714285715,19.571428571428573,0.0005834472919093135,16.181261475152187
